comments,predicted_sentiment
"makin parah, kira kira kalau sudah seperti ini, saya jadi bertanya” kenapa ya diakhir” masa jabatan ini Pak Jokowi mengangkat ketua projo Bapak Budi Arie sebagai menteri komunikasi dan informatika? terutamanya dengan situasi politik sekarang ini yang ternyata menempatkan anaknya Gibran sebagai cawapres Prabowo??? serius ngeri ngeri sedap dengan sepak terjang keluarga Jokowi. Rakyat Indonesia mari berdoa bersama untuk kebaikan Indonesia. Moga kekuatan ketidakadilan, kebohongan, kejahatan politik dan apapun itu yang menjadi tujuan dari kelompok” penghancur demokrasi belakangan ini Engkau musnahkan.",negative
"Yaudah lah gua ikut coblos lah kali ini, ngeri banget kekuasaan di buat2 seperti itu",positive
"Kadang ada sisi positifnya, anak2 muda jadinya punya kesempatan untuk jadi cawapres atau capres tanpa nunggu Usinya 40th terlebih dahulu.",negative
JABATAN HARTA TIDAK KAU BAWA MATI TAPI PERBUATANMU AKAN KAU TANGUNG  SAAT KAU MATI DAN HUKUM YANG PALING ADIL ADALAH HUKUM ALAM ITU TIDAK BISA KAU LAWAN DENGAN CARA APAPUN.,negative
"Keruwetan dan kehancuran inikah yg diinginkan blio ? Menjlng pemilu yang  diharapkan  suasana  damai tenang kondusif njdi kisruh  bnyk intrik dijungkirbalikan oleh  SYAHWAT KEKUASAAN. Palu hakim sdh DIBUAT HANCUR BERKEPING, inikah yg blio mau ???",negative
"aku yang selama ini tidak pernah lepas salut dengan pak jokowi tapi diakhir ko ada yang berbeda ya diperasaan, mungkin ini perasaanku saja",positive
Ada yang tau Gibran jadi kader partai sudah berapa lama? Mengingat jejak digital klo dia tidak pernah sibuk kaderisasi tapi lebih sibuk sama bisnis kateringnya. Tapi klo sesuai isu yg beredar bhw dia dapat KTA setelah pendaftaran cawalkot ya sila simpulkan sendiri.,negative
Pak Hakim dilarang mengadili perkara dimana subyek pokok perkaranya  keponakan pak hakim (ada hubungan semenda dari perkawinan pak hakim dengan bibi gibran). Melanggar norma hukum internasional.,negative
Tuhan sedang memberikan pelajaran bernegara kepada kita semua seluruh rakyat Indonesia saat ini. Semoga Indonesia semakin jauh lebih baik ke depan..,negative
10th lamanya DEMOKRASI REDAM,negative
Presiden Terburuk Ke 7 Di Indonesia. Kalo kita tetap DIAM apa kabar nanti nasib kita kedepannya. BUSUK KAU PAK!!,positive
Ini jujur yah emang pada gak malu apa dgn kondisi begini. Gak pernah dalam sejarah kejadian kek gini. Parah loh bahkan saat pak SBY kecewa sama anies yg blg gak ber etika lah. Ini lbh gak ber etika lagi,positive
jadi sebenarnya 2 pilpres sebelumnya tukang tipu semua pesertanya,negative
"Terima kasih atas penjelasannya....makin miris situasi hukum kita. Ayo kita bersuara lebih keras, mulai dari teman, tetangga dan komunitas",positive
"The power of ""paman""",negative
Di negeri ini integritas sudah lama menjadi bangkai,negative
Sudah lah... Hentikan dandiwara ini Indonesia  butuh peribahan Perubahan yg labih baik dari 10 tahun terakhir... Maka itu Anies lah yang paling tepat untuk perubahan Insya alloh AMIN,negative
"Sepertinya bukan palunya yg patah, ttpi gedungnya yg sudah roboh...",positive
"Mas Zainal saja sebagai pakar Hukum merasa Pak Jokowi ""cawe-cawe"".. Sedih Pak Jokowi kok terakhir perjalanannya harus seperti ini.. 2x saya memilih Pak Jokowi, rasanya memang penyesalan adanya dibelakang.. Semoga rakyat dan ""anak muda"" terbuka pikiran dan hatinya.. Saya akan memilih agar ""Orang Jahat"" tidak berkuasa di negeri tercinta ini..",negative
"Sy ngga abis pikir dengan keputusab MK, sy bukan ahli hukum sy cuman akal sehat , itu putusan sudah dirancang buat ngeng golkan anak prediden supaya lolos Sayang seorang Prrdiden yg sy kagumi ko ujung2nya jadi kaya orang mabok kwkuasaan , dah gitu aja",negative
"Demokrasi hancur,terburuk dalam sejarah bangsa indonesia.",positive
"DINASTI POLITIK SUDAH MERUSAK TATANAN DEMOKRASI. anak muda bisa menjadi apapun, tapi tidak harus menabrak Putusan MK. Satu-satunya cara tidak memilih pihak2 yg merusak demokrasi itu sendiri",negative
Kembali ke adab Dan etik manusia jawa seutuhnya....  Ojo dumeh....,negative
"Hikmahnya,, pemuda bs kesempatan jd presiden mulai saat ini,, jika tdk saat ini diputuskan kedepan tdk akan mungkin anak muda bs berkesempatan, tinggal percaya atau tidak",positive
"Kalau alasan untuk mendukung anak muda agar bisa maju pilpres, harusnya tidak pakai syarat PERNAH JADI PEJABAT Dari sini saja sudah Keliatan, ini bukan untuk muda/mudi indonesia, Tapi Hanya Untuk SEORANG PEMUDA YG SUDAH/SEDANG MENJABAT, siapa orangnya? Ya Jawab Sendiri Ajalah",positive
Kenapa 200 ribu yant nonton harusnya sudah jutaaan biar raakyat pada tau semua dan tim  perubahan sehinggga bisa mengambil hatii masyrakat dab mengambil ksempatan ini,negative
Mahkamah Keluarga menang dgn keputusannya tapi sy yakin ketidak adilan tsb bikin marah rakyat indonesia yg implementasinya tdk memilih pasangan dinasti,negative
"Toloooong sebarkan video ini , biar mncerahkan pemilih2 , pd melek politik",negative
"Berharaaap sekali anda mnjadi juri lg di debat  ca/cawapres mndatang di 2024 , krna anda sangat memahami menguasai permasalahan kini .",positive
Ya gak sah wong bukan wewenang MK.. kl dibiarin bsk2 MK mutusin harga pertalite 20rb trus gak bs dirubah... namanya analogi dungu koclok,negative
"Strategi social psychology warfare untuk meredam berita tentang Anies, .membuat pro & kontra dan lainnya... Menimbulkan rasa kasihan dan simpati kepada Ganjar karena merasa dikuyo-kuyo dan lain-lain",negative
"Analisa yg cerdas jitu , sangat setuju dg narasinya , mohn brlanjut , cerdaskan masyarakat dg kondisi bangsa kini spy gk trjebak , sedih prihatin dg permainan jokowi pdhl selama beliau tampil bwt RI1 dari awal sy pndukung berat , tp kini sprtinya gk bisa diharap lg , knp dia mati2an , rela di rendahkan dihinakan lawan2 politiknya , trnyata hanya agar ada kbrlanjutan tampuk kekuasaan , yg prematur , pdhl kalo kalian sabar , gk bakal lari itu posisi kalo memang anak2 bnr2 brprestasi otomatis akan rakyat pilih dg suka cita , sayang seribu sayang",negative
"Dulu dinasti Soeharto dipermasalahkan sama pendukung jokowi, lah giliran jokowi berdinasti dijawab ga apa2. Lawak emang",positive
Presiden yang pernah saya pilih dan paling mengecewakan ya Jokowi....sekarang kalau belakangnya ada Jokowi atau PDI sepertinya 11 12....tidak akan membawa perubahan membaik untuk negara ini....kenapa pak Prabowo ambil gibran ..ini semakin tidak ada bedanya.... keputusan mahkamah keluarga seperti membawa lelucon lelucon yang memperburuk demokrasi dan keadilan di negara ini....negara kita seperti jauh lebih kritis dari tahun 1998......belum lagi semakin buruknya KPK dibawah pemimpin KPK saat ini ... sesuatu yang sdh bagus seperti sengaja dirusak dijaman Jokowi,positive
Tak pikir pemilu tahun ini agak tenang tapi ternyata lebih panas dari cuaca hari ini,negative
"Putusan pake ilmu ""Tiba-tiba Ingat Ponakan""",positive
DUA LEMBAGA HUKUM YG DULU  DIAGUŅGKN RAKYAT YAITU MK N KPK KETIKA SEJAK KETUA MK IPARNYA PRESIDEN JOKOWI  N KETUA KPK FIRLI DIBAWAHI  PRESIDEN JOKOWI MAKA MUNCUL KASUS2 POLITIK YG DIDUGA DISINYALIR MENGARAH  UTK KEPENŢINGAN KELUARGA PRESIDEN N KOLEGANYA ..BGTU DUGAANNYA,negative
"Anak muda jadi cawapres ribut, ada Kakek2 jompo bau tanah jadi wapres gk bisa kerja hampir 5tahun gk ada yg berani bersuara karena dia Ulama!",positive
Hebat jujur anda layak dan saya bangga masih ada orang  peduli kebenaran  upahmu besar di surga  demokrasi lagi duka jawaban integritas ???,negative
Kata hati pilih yg mateng dlm berpolitik menjadi pemimpin NKRI ..alam G mengajari kita yang paling baik di konsumsi itu yg mateng ...terlalu tua berpolitik ada busuk2nya ..terlalu muda di politik kasian  di rujak nanti sama politikis sekarang aja sdh di rujak nitzen ...itulah nilai2 kebenaran ,negative
SATU KAT UTK JOKOWI DAN ANAK2NYA: MEMALUKAN.,negative
"Masalahnya bukan sesederhana ""Apa salahnya Anak Muda bisa jadi Cawapres"" tapi Kenyataan Bahwa Lembaga Yudikatif bisa diatur Eksekutif, bagaiman nanti Sidang MK Sengketa Pillpres setelah hasil pemilu selesai dan banyak yang menganggap banyak kecurangann apakah masyarakat bakal percaya kalau putusan MK nanti bakal adil ?",positive
Bukan patah tapi hancur demi keluarga,negative
Rugi bien jaman sekolah lehku kon sinau pelajaran PKN pendidikan kewarganegaraan. UUD adalah dasar hukum yang didalamnya di atur dan harus di taati. La ini hanya dengan setengguk kopi peraturan bisa di tambah wkwkwk lawak bener inget saja dulu waktu habis kemerdekaan buat undang undang itu penuh dengan proses panjang lo dab ga bisa sengawur e dewe nambah2 i aturan tanpa ada proses musyarawah yang mencapai mufakat hanya untuk melenggangkan salah satu pihak yg di untungkan. Kalau ada yang bilang di luar negeri banyak yg muda yg jadi bla bla la kan setiap negara punya tata cara dan aturannya sendiri. Ini Indonesia bukan negara lain yang semua konstitusi nya di atur oleh undang-undang,positive
"Ini Misi ""Balas Dendam"" nya si Eyang Owi dan Eyang Uti ..... #TRAITOR !!",negative
"Mahkamah yg paling berharga, Mahkamah Keluarga. Demokrasi yg paling indah, adalah Keluargaaaaa. Terima kasih MK, terima kasih MK. ",positive
"Memang sudah settingan, seolah yg pertama di tolak, tp mencari jalan lain untuk kepentingan politik, supaya lebih halus di buatlah aturan ""boleh mencalonkan asal pernah menjadi kepala daerah"" Begini amat negara",negative
"Dari awal memang sdh ada Indikasi Main Politik di MK, Mulai dari penempatan sang Paman, perpanjangan Masa JAbatan, Lalu Putusan Usia Capres/Cawapres..  Orang Sehat pasti bisa melihat dgn jernih, bahwa semua itu berkaitan dgn Keluarga Presiden.. Hanya Orang yg Fanatik Buta yg tak bisa menilai Fakta didepan Mata..",negative
Adakah Presiden Indonesia yang happy ending di masa jabatannya? Rasa rasanya dari Presiden pertama sampai sekarang ini belum ada,positive
Just enjoy the show.... Jokowi the real entertainment person,negative
 JANGAN SAMPAI MENGORBANKAN RAKYAT DEMI DINASTI KEJI.. YANG DI BANGUN DENGAN NIATAN JAHAT.. KOTOR. .. KOPLAK.. COOK SUROBOYO NE METU SAIKI,negative
Rakyat sudah tidak percaya Jokowi. Demi anak kesayangan.....,positive
"Bukankah selama ini wapres hanya menjadi NPC, kenapa harus sampai seperti ini di ributkan, anak muda atau orang tua berhak dipilih dan memilih dalam pemilu",positive
yuk kasi rezim dan partai kroni kroni saat ini berkuasa 7 periode lagi,positive
Bijak menilai sjak dini lbh baik karena anggapan2 itu ludes dlm sesaat dan penyesalan tdk dpt memutar balikan waktu.,negative
"Makin ke sini terlihat jokowi haus dan serakah akan kekuasaan tanpa malu2 menyiapkan jln tol utk anak2nya, kasihan calon2 lainnya yg lebih mumpuni dan lebih memenuhi syarat/melewati proses sesuai prosedur tapi kalah dgn org yg punya koneksi dan jln pintas.",negative
Tolong dong undang ketua MK. pengen tau jawabanya pas di tanya mbak nana.. TOLONG DONG MBAK NANAA.. Undang ketua mk.,negative
"Tolong suarakan penggantian ketua MK,  berbahayahasil pemilu kedepan dalam sengketa pemilu",positive
"Mahkamah keluarga, menciptakan KKN gaya baru",positive
"Semuanya sudah di desain termasuk orang-orang yg menhuji dan srngaja melemparkan masalah ke MK.... Lalu ada ketua MK agar pamannya yg terpilih, dia dudah berhitung   dan rencana 2,2 dan 3",negative
"S'makin banyak orang pilihan Nyata-nyata s'makin rakus Bangun istana 'tuk dinastinya Atas nama rakyat jelata Bukan jamannya berdiam diri Ratapi Di sini harusnya ada ruang Di mana tak ada pedang memotong lidah Bebas bicara tentang makna Keadilan, pembagian kekuasaan, kemunduran Partai-partai, monopoli, kartel, t'rus, dan sebagainya Beri kami satu ruang 'Tuk katakan yang benar Kuburkan yang salah (wo-oh) Biarkan kami tumpahkan Aspirasi putih kami ~ aspirasi putih - dewa19",negative
"Ayo para pskar hukum dan tata negara bersuara lah, kalau ada yang salah haruslah bersuara jangan diam.......... Kasihan jokowidodo , gibran dan keluarga nya, memberikan odaan politik  sehinga ETIKA dan NALAR nya sudah terabaikan....... Kalo saja dia baca komentar kami yg menyayangi dia tapi jadi lupa diri..... Kami tidak punya role model pemimpin yang sempurna....... Sayang banget di pengujung  kok jadi begini",positive
" Konoha city mmng, Tuhan saja tidak takut apa lagi manusia .",negative
"Ah , semua gua nggak peduli , yg penting - JAN ETHES untuk SOLO 1......titik !!",negative
"Bapaknya belum selesai jd Gub, naik capres. Anaknya belum selesai Wal, naik cawapres. Buah tidak jatuh jauh dari pohonnya",positive
Harusnya video dengan judul ini sudah bisa release beberapa tahun yang lalu.,positive
"Pakar hukum aj PD bingung, klo syarat umur usia capres emang kewenangan MK ? Kenapa ga dibahas dari dulu dijadikan undang undang, yg bikin undang undang emang  siapa? MK ? Pada ga jelas, masa MK harus menentukan usia capres, sementara ga ada yg melanggar Krn memang blm ada undang undangnya",negative
Kangen Wapres Ma'ruf Amin . Oh Negri ku ..ngeri ku,negative
"Integritas itu sdh diuji dg konsistensi Gibran dlm komunikasinya- tegak lurus dg ketua umum- stay di PDI dan akhirnya hengkang. Integritas juga mencakup loyalitas dan tata krama- tidak tergoda akan buaian dan godaan partai lain. Nafsu berkuasa terkendali. Anyway..kita pilih Capres kok..dan yg memenuhi syarat kapabilitas, kapasitas, integritas ..yoo Ganjar P....mhn maaf yg lain lewat dulu.",negative
"Mencoreng nama baik sendiri dalam tahun terakhir kepemimpinan dari isu yang terjadi saat ini jelas bahwa ini adalah dinasti politik, kita rakyat hanya nonton saja apa itu kepentingan rakyat apa itu demokrasi",negative
"Baru tau sekarang apa makna pesan Jokowi "" Ojo kesusu memberikan dukungan kpd Capres tertentu"" ...ternyata beliau beserta seluruh ""pemainnya"" sedang menyiapkan ""the ultimate"" politik strategi  melalui MK.....ruar biasa...bisa dibayangkan perasaan bu Mega...",negative
MK Melakukan Pelanggaran,negative
Kartu Merah untuk MK ,positive
"Mohon maaf, tapi kenapa baru gaduh sekarang? Sewaktu Anwar Usman menikah dengan adiknya Jokowi, harusnya kejadian semacam ini sudah bisa dibaca. Pernikahan inilah praktik politik dinasti yang sebenar-benarnya, bukan putusan mk yang bikin gibran bisa jadi cawapres. Putusan ini adalah produk permainan politik dinasti. Toh masyarakat kita pemaaf & pelupa. Terlepas dari menang-kalahnya Prabowo & Gibran nanti, masyarakat bakal adem dengan segera, kejadian ini bakal terlupa atau dimaklumi dalam wakti cepat. Menyedihkan sekali.",negative
Gugatan yg paling konyol adalah batasan usia dimana joe biden saja sudah 80 tahun lalu tahun sebelumnya cawapres lebih tua dari Prabowo. selain itu masih bisa di gugat,positive
"Mksih Om Usman  bisa jadi wacapres  Nggeriii  Harta tahta,,, Melupakan logika danetika",positive
Rakyat harus adili ketua mk,positive
"Bukan merah LG,tapi udah hitam bangat.",negative
Anak muda lain yg lebih pintar /cerdas banyak...koh!.. Kemudian ngaku mewakili anak muda seluruh Indonesia?,positive
Gara2 setitik nila rusaklah susu sebelanga...setiap yg menanam benih dia pula yg menuai badainya,positive
"Saran masukan para intelektual sptnya tidak ada gunanya, rezim tetap berjalan tanpa menghiraukan.",positive
Sudah bisa disebut keluarga rakus belum?,positive
nenek chio kaget bonekanya bisa gerakin boneka lagi,positive
Majelis Keluarga(?),negative
" rezim ...rezim,...hukum sdh jadi lelucon... Alat kekuasaan.",negative
"Kalau MK aja ikut merekayasa agar memfasilitasi keinginan golongan agar mengubah undang2, pasangan calon yang diusung dan partai diuntungkan ga bisa dipercaya untuk memimpin. MK harus di bersihkan. Begitu jelas KKN in real time.",positive
Wododo grup,negative
"Awalnya cawe2 dlm pemilihan, setelah menang cawe2 dalam pemerintahan. Ada wapres bayangan. Ngeri sekaliii.",negative
"Nama baik tdk penting, atau bisa diperbaiki nanti lah,, pokok jabatan, kuasa nomor satu. Walau sempat hati kecil menggelitik untk mngatakan tdk, abaikan saja,buat tidur. Lama2 jg hilang n biasa. Karena jabatan n kuasa sangat menggoda.krn sepertinya ada peluang besar untk jadi. Klw peluang kecil mngkin akan sy tolak dg alasan etika n nurani.ah gampang sekali mengelabuhi mereka ini.tp ini peluangnya kayaknya bisa ini.gass wae lahh  uasu tenan. Kata butet",negative
Anak papah,positive
Gk ada yg demo?,positive
"Jokowi itu master of memggiring opini,.jadi semuanya sudah di rancang jauh sejak di Solo dulu. Jangan2 nih kalo pasangan WoGi menang tiba2 pakse sakit dan akhir nya digantikan (konspirasi), jadi akan dipaksakan menang at all cost.",negative
Negri pewayangan kira2 gitulah,positive
Mau mencoba berfikir positif tapi gk bisa. Ini sudah keliatan sekali permainannya .,negative
Andai prabowo-gibran kalah dipilpres Trus hasil pilpres di gugat ke MK Apakah MK bakal mengabulkan gugatan kubu prabowo.karna disana ada keponakan Mk,positive
Om Anwar  Usman bikin wajah dan marwah MK tambah bluwek. Rusak wajah MK gara2 ada Om Anwar Usman omnya Gibran,negative
"Usia boleh tua tapi pemikiran sangat muda dan futuristik hanya ada di RK, hanya sayang ngga diusung sama partainya sendiri",negative
"Judulmu bombastis....padahal kasus ini biasa saja, malah membuka peluang kaum muda untuk jd pemimpin negeri ini dan menerobos tembok tebal monopoli n oligarki parpol. Bandingkan dg kasus ketua mk korupsi bbrp thn lalu",negative
"Perilaku pemimpin saat ini sudah ditiru rakyatnya. Tidak punya malu, ego tinggi, menabrak aturan hukum atau etika, banyak fake.",negative
Pak lurah maennya ga cantik,positive
Hanya satu kata saja.. ' MEMALUKAN ' ! #MKKebelinger #UUDipelintir,positive
Rusak hukum di negeri ini demi  haus kekuasaan,negative
"Tidak jelas di 2 yg berbeda .. mestinya SPT deny indrayana.  2 itu setuju umur di bawa 40 tapi yg pernah, sedang gubernur",negative
Memalukan. PNS ASN suami istri saja masih kerja dalam kantor dinas yang sama. salah satu harus mengudurkan diri. Karena konflik kepentingan keluarga. Hakim Anwar Usman benar benar tidak punya rasa malu. Harusnya di mengundurkan diri jadi ketua MK.,positive
Palu pesanan pak lurah,positive
Mana nih mata najwa kok gk ikut investigasi kasus Jesika Wongso,positive
"Gak salah ini, org ugm kok kritik org ugm juga ",positive
modar lalah ,positive
Kebablasan lho ini.,positive
Selamat berbangsa dan bernegara serta bermasyarakat. Hidup Pancasila dan UUD negara kesatuan republik Indonesia Bhinneka tunggal Ika. Wasalam,negative
Jokodokkk pekokkkkk,positive
Terdegradasi sudah simpatiku ke titik paling minimum sama Pak Jokowi yang ku kagumi selama 11 tahun. Semenjak gubernur DKI Jakarta,negative
"Gapunya biji, mau majuin anak tp lewat orang,mahasiswa ingusan wkwk",negative
"Dari awal ketua mk jd ipar yanpa mengundurkan diri udah aneh, eh ini lg mutus sodang ponakan tanpa malu..makin aneh, ehhh lebih aneh lagi kalo ga ada yg melek sama kelakuan si joko dan keluarga",negative
NARASI TV think inside,positive
Putusan hukum itu tidak akan memuaskan semua pihak.,negative
"DINASTI JOKER , KELUARGA GRAGAS ,GILANI",negative
"Katanya sih, keputusan MK itu final dan mengikat, termasuk mengikat MK sendiri. Tapi ternyata keputusan MK tidak final dan tidak mengikat MK. Terbukti MK membatalkan keputusan MK sendiri, karena keputusan jam 14 telah membatalkan keputusan jam 12.",positive
Demokrasi jadi hancur oleh orang yg selalu mengatakan Revolusi mental.. Mental Pengkhianat ,positive
Kalian ini maunya pemimpin yg korupsi apa yg bekerja,positive
"Tuhan,, tolong bangsa ini... ",negative
SEKARANG JOKOWI SUDAH TIDAK BISA DIPEGANG OMONGANNYA... ANTARA MULUT DAN PIKIRIAN BERBEDA... JOKOWI SUDAH BERUBAH SEJAK ''BERGAUL'' DENGAN SI WOWO..,positive
"Terima kasih Prof.sdh berbagi, salam sehat, cerdas dan semangat  untuk selalu menegakkan demokrasi yg lebih baik unutk berkehidupan negara sekarang dan yg akan dtng",positive
AKIBAT LIBIDO KEKUASAAN YG LG HORNY,negative
"Ini,kalo sampe lolos,kembali ke jaman 0rba,,,,apa perlu,pdip dan mahasiswa turun lagi.",negative
Cuma rakyat kecil yg GK bisa beli hukum karna GK punya duit,positive
RIP DEMOKRASI....SEDIH KECEWA. MARAH  CAMPUR ADUK JADI SATU... Terima kasih Mata Najwa.....TERUS SUARAKAN  KEBENARAN.....AGAR KITA SEMUA BERPIKIR DGN KEWARASAN......,negative
"   Jadikan tanggal 16 Oktober dengan sebutan HARPRANKNAS alias Hari Prank Nasional, dimana rakyat Indonesia telah kena prank selama 20 tahun, sejak dari Solo dan sampai kembali Solo. Hidup Harpranknas !!!!! Wakakak !!!!   ",negative
Jokowi sdh menutup mata dan telings..rakyat kecewa..kok di akhir jbatan bgini sih,negative
Ga di sangka .hampir 20 tahun dukung Jokowi yg fi harap kan bisa oegang janji nya saat mencium merah outih sehabis di deklarasi hanya akan tunduk pada konstitusi tapi ternyata Bapak bohong malah  di Era Pk jokowi lah Mahkamah Konstitusi telah AMBRUK lewat sang Paman Brewok Afik Bapak sendiri..dan  hanya demi melolos kan sang Pangeran Gibran agar bisa Lolos ikut bertarung agar bisa masuk Istana yg juga sudah Bapak atur semua strategi nya...Pak Jokowu sudah mengecewakan jutaan orang yg sudah menghantarkan bapak jafi seperti sekarang  Bapak sudah Kufur kekuasaan Pak..Ingat Pak kekuasaan akan aa batas nya. Terima kasih sudah bangun Infonesia Pak Jokowi..dan yakin lah Dinasti Kekuasaan yg sedang Bapak bangun tidak akan pernah bisa di terima Oleh  Rakyat sdi seluruh Indonesia,negative
"Saya membayangkan, kalau saja Gibran itu bukan anak Pak Jokowi, Gibran itu bukan anak Presiden, Pak ketua MK bukan Omnya Gibran dan membandingkan kalau saja AHY bukan anak SBY, mbak Puan anaknya bu Mega, Prananda anak bu mega, Surya paloh punya anak di Nasdem dll banyak lagi. Semua itu menuju arah yang sama tinggal siapa mendapatkan kesempatan lebih dulu. Apakah semua itu seperti kebetulan menuju dinasti yg sedang sibuk di pembahasan. Mungkin dan seandainya",negative
JUSTRU ITU BAIK BAGI DEMOKRASI KITA. SEHINGGA MEMBUKA KESEMPATAN SELUAS-LUASNYA BAGI PUTRA / PUTRI BANGSA. TERIMA KASIH MK.,positive
keputusan baik cuma waktunya tidak pas,negative
pak Jokowi ditikam musuh dlm selimut,negative
tamatnya politik jokowi.,negative
"Masa sih pola asuh pak jokowi permisif? Masa sih keluarga pakaJokowi tidak punya waktu untuk berdiskusi dg keluarga, masa sih pak jokowi tidak ada budaya evaluasi dimeja makan,masa sih pak Jokowi lupa pesan almarhum ibunya. Waduh...sedih sekali ",negative
Semoga batas usia maksimal capres 70th akan lolos...,negative
"Dlu sangat mendukung pak jokowi, sekarang denger aj muak....",positive
"sudah ada GO-FOOD,GO-CART yang terbaru GO-KUM.......parah.........",negative
Aku cuma bisa berharap dengan pak mahfud MD untuk membenahi ini semua. Saya mendukung Ganjar Mahfud,positive
Mau palu putus mau tidak buang2 wkt tdk akan di dengar sm Jokowi wong dia itu sdh muke tembok haus akan kekuasa’an semua hambatan akan di hancur’khan demi Dynasty’nya,positive
"so confusing. please someone tell me how to ""trust"" the candidates :( too much things to consider",negative
"tidak jauh org yg tidak suka hanyalah IRI, Tdk di pungkiri emang kenyataanya Ini Demokrasi orang kalo memang recordnya bagus pasti akan di pilih, kalo tidak ya jangan, anak pejabat di indonesia jg bnyak kog yg mnruskan bapaknya di politik, tp mreka tgglam gbsa kya Gibran, walpun gibran maju cawapres skalipun menghalalkan segala cara, untuk kptusan MK, tp klo rakyat indonesia tidak suka gibran ya jgn di pilih lah, sesimple itu, yg ribet krna pemikiranya sndri, trmasuk ORG INI KBNYKAN NGOMONG",positive
MK = Makamah KELUARGA. MK = Makamah KOMEDI. Memalukan Keterlaluan. Masyarakat Kecewa.,positive
DINASTI  POLITIK,positive
"""Keputusan MK mutlak dan mengikat"" Jokowi dan koleganya :  Gibran : Thnkyou Uncle  We : ah suka2 klian lah ... Mau jual pisang hasil nya Terliyunan... Modified uu suka2 hati... Atur2 aja Ikan tongkol",negative
bagaimana pak Anwar Usman menilai gejolak ini akibat dari putusan MK yang seperti ini ya???,negative
"MK mahkama keluarga, MK merupakan maling kakap, bubarin saja MK",positive
"Saya merasa sebental lagi akan ada hura hara,jokowi akan tumbang.",negative
Maturnuwun pecerahannya Mas Uceng,positive
Mereka tidak suka karena mereka tau gibran sangat berpotensi utk menang.,positive
Sutradaranya Semua Kekisruhan ini semua Adalah Antara Jokowi & Prabowo. Yang mengunakan BONEKA PARTAI PSI !!!... Silahkan Analisanya dan Simpulkan Tujuannya Apa...??? Kali ini Saya Apresiasi Mahasiswa Demo Sampai Ketua MK Di Ganti karena Membayakan Bernegara ‼,positive
MK ( Mainan Kita ),positive
Bukannya cari husnul khotimah ya... ,negative
3 periode gagal perpanjanan masa jabatan gagal penundaan pemilu gagal langkah terakhir utak atik MK,positive
HE  WORKS THROUGH WONDER.,negative
MK alias mahkamaha keluarga adalah wujud asli jokowi… jadi selama 10 tahun banyak masyarakat Indonesia telah tertipu….,negative
Si usman adik ipar jokowi ternyata hakim yang membigungkan. ..,negative
"Tolak dinasti politik dan dikejar pejabat yang berwenang untuk bertanggung jawab dan dihukum seberat-beratnya. masyarakat sudah muak dengan penegakkan hukum dan bingung kemana lagi mencari keadilan. Kehidupan masyarakat susah, lowongan pekerjaan susah dll. sekali lagi kita tolak dinasti politik!!!!",positive
Twrnyata kurus itu rakus... Kecurangan jadi praktek lumrah oleh rejim ini,negative
"Sebenarnya mah gak usah terlalu Pusing.. Putusan MK itu udh Final, dan Memang banyak Salah dari Sisi Etika, tapi dari hukum tidak.. Jadi lebih baik Masyarakat Indonesia yg Masih Waras, Kalau Memang GRR jadi Cawapres tinggal TIDAK USAH DI PILIH,, Kan 2 Paslon Lain masih ada. Ganjar - Mahfud dan Anies - Muhaimin..",positive
Ambruknya demokrasi di indonesia...,positive
hanya orang DUNGU yg masih mendewakan jokowi,positive
"Tepat sekali kekuasaan dibatasi..lebih dari itu manusia mabuk kekuasaan .. jokowi masih haus kekuasaan. Mungkin cara ia berkuasa 3x.."" Pendukung jokowi yg kecewa"" Hard Crash Landing!",negative
Makin-makin kecewa sama Jokowi.,negative
Adakah cara untuk memberhentikan Anwar Usman sebagai hakim MK..???,positive
"Yg mendukung gibran maka dia menginginkan kejadian 98 akan terulang lagi ,apakah anda ingin,indonesia akan krisis xemo dimana mana ,kalau pun dia menang partai yg kalah akan memakzulkan ,karna sudah melanggar undang undang",negative
Sayang anak dari buaian hingga MK,positive
"Begitu buruknya niatmu bapak yg mana engkau dijadikan panutan oleh rakyatnya ternyata karena ambisimu kau korbankan harga dirimu didepan rakyatmu,",positive
Sebenarnya kesalahan kalian adalah membiarkan anak presiden waktu bapaknya menjabat sbagai presiden untuk mengikuti pemilu sebagai calon walikota dll itu dimaanapun dia pasti menang...seharusnya waktu menjabat bapaknya sebagai  presiden.gubernur.bupati anaknya harus dilarang mencalonkan diri sebagai apapun..,positive
aku malu ....aahhhhh,positive
Udah aq bilang bubarkan aja DPR. Udah ada MK untuk membuat UU dan Hukum dalam negeri ini.,negative
keknya jokowi lagi nutupin dosa gede ..... sampai kelihatan bgt cara kotornya,positive
MAHKAMAH  KELUARGA BIKIN GADUH.,positive
Bapaknya presiden Anak 1 walkot Anak 2 ketum partai Menantu walkot Ipar MK Masih nanya ini politik dinasti atau nggak ? Kurang tolol apalagi kita wahai rakyat Indonesia ?,negative
